s-sw-0,s-sw-1,w-sw-0,w-sw-1,sw-s-0,sw-s-1,sw-w-0,sw-w-1
0.872,0.306,0.744,0.199,0.1,0.854,0.463,0.995
0.933,0.619,0.688,0.104,0.349,0.698,0.315,0.478
0.758,0.932,0.927,0.963,0.249,0.877,0.889,0.733
0.89,0.62,0.794,0.926,0.75,0.895,0.358,0.708
0.813,0.442,0.419,0.874,0.428,0.851,0.049,0.484
0.687,0.506,0.86,0.509,0.99,0.847,0.189,0.879
0.759,0.822,0.807,0.411,0.539,0.805,0.515,0.604
0.922,0.562,0.729,0.661,0.936,0.859,0.362,0.946
0.856,0.405,0.15,0.649,0.647,0.888,0.607,0.862
0.796,0.458,0.598,0.623,0.821,0.487,0.832,0.767
0.791,0.463,0.847,0.079,0.193,0.962,0.416,0.415
0.979,0.867,0.764,0.496,0.944,0.917,0.811,0.776
0.911,0.793,0.893,0.636,0.464,0.789,0.783,0.895
0.799,0.636,0.844,0.647,0.555,0.914,0.793,0.965
0.476,0.168,0.881,0.787,0.479,0.93,0.614,0.847
0.91,0.973,0.887,0.515,0.795,0.925,0.866,0.372
0.93,0.903,0.897,0.158,0.836,0.719,0.252,0.675
0.703,0.524,0.652,0.34,0.954,0.912,0.849,0.792
0.902,0.987,0.927,0.779,0.165,0.527,0.348,0.638
0.939,0.366,0.933,0.986,0.444,0.903,0.489,0.917
